sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.6129;2.5283;9.8067;10.0;-22.44;-17.04;-45.6;92.49;-20.58;2.84;9.0;14.895;;;;NaN;;;;0 / 0;39;2018-11-07 21:03:24:097
5.6312;1.8771;6.9336;10.0;-45.84;-12.9;-25.44;92.37;-13.88;-39.65;9.0;22.06;;;;NaN;;;;0 / 0;539;2018-11-07 21:03:24:597
7.8913;2.9113;5.0949;10.0;-48.24;-20.34;-11.94;108.92;-16.89;-56.86;9.0;22.06;;;;NaN;;;;0 / 0;1039;2018-11-07 21:03:25:097
8.3893;3.984;3.1795;10.0;-46.5;-27.12;-1.08;108.35;-26.4;-70.67;9.0;18.518;;;;NaN;;;;0 / 0;1540;2018-11-07 21:03:25:598
6.1292;5.8993;2.988;10.0;-33.66;-43.8;-3.24;154.65;-37.99;-73.69;9.0;26.793;;;;NaN;;;;0 / 0;2040;2018-11-07 21:03:26:098
5.5929;7.4316;3.7158;10.0;-24.72;-49.92;-7.32;153.17;-51.98;-62.21;0.0;25.908;;;;NaN;;;;0 / 0;2539;2018-11-07 21:03:26:597
6.5122;6.5505;1.8004;10.0;-21.54;-50.88;-8.4;182.81;-42.45;-70.22;0.0;20.992;;;;NaN;;;;0 / 0;3039;2018-11-07 21:03:27:097
3.2944;9.1171;0.5363;10.0;0.18;-52.8;-7.74;205.72;-71.08;-85.18;0.0;20.366;;;;NaN;;;;0 / 0;3540;2018-11-07 21:03:27:598
1.9154;9.6151;-0.4214;10.0;7.8;-51.72;-6.12;199.75;-72.08;-75.07;0.0;31.821;;;;NaN;;;;0 / 0;4039;2018-11-07 21:03:28:097
0.9194;9.5002;-1.1875;10.0;11.34;-51.3;-4.8;141.21;-86.33;-166.76;0.0;38.074;;;;NaN;;;;0 / 0;4539;2018-11-07 21:03:28:597
1.992;9.9982;-0.6895;10.0;9.3;-51.84;-3.06;179.69;-78.09;-109.09;0.0;46.302;;;;NaN;;;;0 / 0;5040;2018-11-07 21:03:29:098
0.4214;9.5385;-2.3367;10.0;12.48;-47.52;7.26;126.68;-73.91;-155.17;3.5;54.488;;;;NaN;;;;0 / 0;5539;2018-11-07 21:03:29:597
1.6089;9.8833;0.2682;40.0;9.84;-51.06;-2.52;165.72;-83.37;-123.69;3.5;34.74;;;;NaN;;;;0 / 0;6039;2018-11-07 21:03:30:097
1.2641;9.8067;-1.5706;40.0;9.42;-51.18;2.7;153.61;-76.13;-132.46;3.5;56.543;;;;NaN;;;;0 / 0;6539;2018-11-07 21:03:30:597
1.2258;9.4619;1.494;10.0;9.96;-50.88;-11.28;241.19;-78.46;-39.37;0.0;48.035;;;;NaN;;;;0 / 0;7039;2018-11-07 21:03:31:097
1.1492;9.5002;1.494;10.0;9.6;-50.94;-12.24;238.88;-78.79;-48.37;0.0;55.825;;;;NaN;;;;0 / 0;7539;2018-11-07 21:03:31:597
1.9537;9.3087;1.7621;10.0;5.76;-51.66;-11.64;230.4;-74.22;-47.95;0.0;27.292;;;;NaN;;;;0 / 0;8040;2018-11-07 21:03:32:098
1.7621;9.3853;1.5706;10.0;7.26;-52.5;-13.38;239.36;-75.74;-47.6;0.0;35.902;;;;NaN;;;;0 / 0;8539;2018-11-07 21:03:32:597
1.4557;9.5385;1.4174;10.0;7.74;-51.36;-10.5;234.04;-78.55;-47.42;0.0;18.921;;;;NaN;;;;0 / 0;9039;2018-11-07 21:03:33:097
1.5323;9.5768;0.9577;10.0;8.22;-51.84;-9.48;225.25;-77.72;-52.5;3.5;21.266;;;;NaN;;;;0 / 0;9539;2018-11-07 21:03:33:597
1.494;9.5768;0.9577;40.0;7.86;-51.12;-8.88;226.88;-79.5;-57.34;3.5;50.236;;;;NaN;;;;0 / 0;10039;2018-11-07 21:03:34:097
1.5706;9.6151;0.6895;10.0;7.62;-50.76;-8.64;222.76;-79.36;-57.99;3.5;42.258;;;;NaN;;;;0 / 0;10544;2018-11-07 21:03:34:602
1.7238;9.6917;0.4214;40.0;7.44;-51.54;-6.66;212.88;-80.01;-71.15;3.5;42.332;;;;NaN;;;;0 / 0;11039;2018-11-07 21:03:35:097
0.6129;9.5768;-0.1532;40.0;10.26;-50.4;-4.8;189.7;-86.23;-104.04;3.5;57.143;;;;NaN;;;;0 / 0;11540;2018-11-07 21:03:35:598
0.5746;9.5002;-1.5323;40.0;8.1;-50.76;0.06;158.02;-80.86;-134.06;3.5;62.569;;;;NaN;;;;0 / 0;12039;2018-11-07 21:03:36:097
